12-й микрорайон,40
Азия гипермаркет,12
Саякбая Каралаева,10
микрорайон Асанбай,13
11-й микрорайон,15
МТУ №7,16
Парк Асанбай,36
Сухэ-Батора,18
6-й микрорайон,19
7-й микрорайон,23
5-й микрорайон,22
4-й микрорайон,11
4-й микрорайон,21
Юнусалиева,41
Суванбердиева,20
ул. Медерова,17
ТЦ Таш-Рабат,14
Жукеева-Пудовкина,9
Кулатова,25
Боконбаева,26
Моссовет,8
Киевская,35
Бульвар Эркиндик,30
Площадь Ала-Тоо,27
Кинотеатр Россия,32
Кыргызская национальная филармония им. Токтогула Сатылганова,24
Национальная академия наук Кыргызской Республики,34
Бейшеналиевой,7
Павлова,28
Шлагбаум,29
Улица Каракумская,31
Кызыл-Аскер,33
Профсоюзная,39
Профсоюзная,38
Геология,5
Спорт клуб,37
Военный институт,6