жилмассив Арча-Бешик,148,0
проспект Абсамата Масалиева,147,1
Верхний Джал,149,2
Верхний Джал,141,3
Средний Джал,142,4
Нижний Джал,143,5
Центр охраны материнства и детства,144,6
Бакаева,150,7
Шота Руставели,152,8
Политех,151,9
Айни,154,10
Шампанвинкомбинат - ул.Славянская,138,11
Горького,153,12
Жоомарта Боконбаева,136,13
Токтогула,162,14
Кыргызская национальная филармония им. Токтогула Сатылганова,140,15
Национальная академия наук Кыргызской Республики,160,16
Бейшеналиевой,135,17
Павлова,155,18
Шлагбаум,157,19
Улица Каракумская,158,20
Кызыл-Аскер,159,21
Школа №49 им. А. Толубаева,156,22
Рынок Дордой Моторс,137,23
Садыгалиева,145,24
ЗАО Акун,161,25
Школа №42,146,26
Киркомстром,139,27